iter	Passed	Remaining
0	146	145972
1	148	73949
2	149	49757
3	151	37603
4	152	30317
5	153	25441
6	154	21953
7	155	19321
8	156	17279
9	157	15631
10	158	14270
11	159	13124
12	160	12150
13	160	11312
14	161	10588
15	161	9955
16	162	9394
17	163	8896
18	163	8450
19	164	8048
20	164	7684
21	165	7362
22	166	7062
23	166	6784
24	167	6528
25	167	6291
26	168	6073
27	169	5874
28	171	5730
29	172	5561
30	172	5398
31	173	5252
32	174	5115
33	175	4978
34	175	4848
35	176	4724
36	177	4607
37	177	4496
38	178	4390
39	178	4291
40	179	4195
41	179	4105
42	180	4019
43	181	3936
44	181	3857
45	182	3782
46	182	3709
47	183	3645
48	184	3582
49	185	3525
50	186	3468
51	187	3411
52	187	3353
53	188	3297
54	188	3243
55	189	3191
56	189	3141
57	190	3092
58	191	3047
59	191	3003
60	192	2959
61	192	2917
62	193	2876
63	193	2836
64	194	2798
65	195	2761
66	195	2725
67	196	2690
68	196	2657
69	197	2625
70	198	2593
71	199	2569
72	201	2552
73	201	2523
74	202	2493
75	202	2465
76	203	2437
77	203	2410
78	204	2383
79	205	2358
80	205	2332
81	206	2308
82	206	2281
83	207	2257
84	207	2235
85	208	2212
86	208	2190
87	209	2169
88	209	2148
89	210	2128
90	211	2107
91	211	2087
92	212	2068
93	212	2049
94	213	2031
95	214	2016
96	214	2000
97	215	1985
98	216	1970
99	217	1953
100	217	1936
101	218	1921
102	218	1905
103	219	1890
104	220	1875
105	220	1860
106	221	1845
107	221	1831
108	222	1816
109	222	1803
110	223	1789
111	223	1775
112	224	1762
113	225	1749
114	225	1736
115	226	1724
116	226	1710
117	227	1698
118	227	1686
119	228	1677
120	229	1667
121	230	1656
122	230	1645
123	231	1634
124	231	1623
125	232	1613
126	232	1601
127	233	1591
128	234	1580
129	234	1570
130	235	1559
131	235	1549
132	236	1540
133	236	1530
134	237	1521
135	238	1512
136	238	1502
137	239	1493
138	239	1484
139	240	1475
140	240	1467
141	241	1457
142	241	1448
143	242	1440
144	242	1432
145	243	1425
146	244	1419
147	245	1412
148	246	1406
149	246	1398
150	247	1390
151	247	1383
152	248	1375
153	249	1367
154	249	1360
155	250	1353
156	250	1346
157	251	1339
158	251	1332
159	252	1325
160	252	1317
161	253	1310
162	253	1303
163	254	1297
164	255	1291
165	255	1284
166	256	1278
167	256	1271
168	257	1266
169	259	1265
170	260	1261
171	261	1258
172	262	1252
173	262	1247
174	263	1241
175	263	1235
176	264	1229
177	265	1224
178	265	1218
179	266	1213
180	266	1207
181	267	1202
182	268	1197
183	268	1191
184	269	1186
185	269	1181
186	270	1177
187	271	1172
188	272	1167
189	272	1162
190	273	1158
191	274	1153
192	274	1149
193	275	1144
194	276	1140
195	277	1136
196	277	1132
197	278	1127
198	278	1122
199	279	1117
200	279	1112
201	280	1107
202	281	1103
203	281	1098
204	282	1094
205	282	1089
206	283	1084
207	283	1080
208	284	1077
209	285	1073
210	285	1069
211	286	1065
212	287	1061
213	287	1056
214	288	1053
215	289	1050
216	290	1048
217	291	1044
218	291	1040
219	292	1036
220	292	1032
221	293	1028
222	293	1024
223	294	1020
224	295	1016
225	295	1012
226	296	1008
227	296	1004
228	297	1001
229	297	997
230	298	993
231	299	990
232	299	986
233	300	983
234	300	979
235	301	975
236	301	972
237	302	968
238	302	964
239	303	961
240	304	958
241	305	955
242	305	952
243	306	949
244	307	946
245	307	943
246	308	940
247	309	937
248	309	933
249	310	930
250	310	927
251	311	923
252	311	920
253	312	917
254	313	914
255	313	911
256	314	908
257	314	904
258	315	901
259	315	898
260	316	895
261	316	892
262	317	889
263	318	886
264	318	884
265	319	881
